Modelo,Clase,Precision,Recall,F1-score,Support
Árbol Decisión,NO (0),0.8613472215398221,0.8262713861526134,0.843444791917248,21217.0
Árbol Decisión,SÍ (1),0.7000325520833334,0.7529761904761905,0.7255398110661269,11424.0
Árbol Decisión,macro avg,0.7806898868115777,0.7896237883144019,0.7844923014916874,32641.0
Árbol Decisión,weighted avg,0.8048888169605835,0.8006188535890445,0.8021793128803556,32641.0
Naive Bayes,NO (0),0.8552952930728241,0.7262572465475797,0.7855121963653047,21217.0
Naive Bayes,SÍ (1),0.6028717948717949,0.771796218487395,0.6769549694805943,11424.0
Naive Bayes,macro avg,0.7290835439723096,0.7490267325174873,0.7312335829229495,32641.0
Naive Bayes,weighted avg,0.7669497753666092,0.7421953984252934,0.7475183309833945,32641.0
Random Forest,NO (0),0.8495080714490401,0.8383371824480369,0.8438856600640493,21217.0
Random Forest,SÍ (1),0.7069127574126293,0.7241771708683473,0.7154408267393091,11424.0
Random Forest,macro avg,0.7782104144308346,0.7812571766581922,0.7796632434016793,32641.0
Random Forest,weighted avg,0.799601240544596,0.7983824024999234,0.7989313456771789,32641.0
XGBoost,NO (0),0.8554350982479915,0.8330583965687892,0.8440984741756011,21217.0
XGBoost,SÍ (1),0.7043158861340679,0.7385329131652661,0.721018672819724,11424.0
XGBoost,macro avg,0.7798754921910297,0.7857956548670277,0.7825585734976626,32641.0
XGBoost,weighted avg,0.8025449944157111,0.7999754909469685,0.8010218634501473,32641.0
MLP,NO (0),0.8461756910261264,0.8426261959749257,0.8443972133663951,21217.0
MLP,SÍ (1),0.7099800225831668,0.7155112044817927,0.7127348825042508,11424.0
MLP,macro avg,0.7780778568046467,0.7790687002283592,0.7785660479353229,32641.0
MLP,weighted avg,0.7985086674578421,0.7981373119696088,0.7983168093417287,32641.0
